hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,MO_YR,CPI_AVG,INFLATION,INFLATION_CHG,CSMR_SENT,UNRATE,INTRSRT,GDP,FUEL_PRCS,CPI_HOTELS,US_GINI,DIS_INC
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,NULL,0,Transient,0,0,0,Check-Out,7/1/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,NULL,0,Transient,0,0,0,Check-Out,7/1/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,NULL,0,Transient,75,0,0,Check-Out,7/2/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,0,Transient,75,0,0,Check-Out,7/2/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98,0,1,Check-Out,7/3/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98,0,1,Check-Out,7/3/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,NULL,0,Transient,107,0,0,Check-Out,7/3/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,0,Transient,103,0,1,Check-Out,7/3/2015,7-2015,238.034,1.8,0,93.1,5.3,0.75,18306.96,194,0.187566339,41.2,41355
City Hotel,0,109,2017,August,35,31,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,155,0,1,Check-Out,9/4/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,44,2017,August,35,31,1,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,140.75,0,1,Check-Out,9/4/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,188,2017,August,35,31,2,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,99,0,0,Check-Out,9/5/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,135,2017,August,35,30,2,4,3,0,0,BB,JPN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,0,Transient,209,0,0,Check-Out,9/5/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,164,2017,August,35,31,2,4,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,0,Transient,87.6,0,0,Check-Out,9/6/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,21,2017,August,35,30,2,5,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394,0,Transient,96.14,0,2,Check-Out,9/6/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,23,2017,August,35,30,2,5,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394,0,Transient,96.14,0,0,Check-Out,9/6/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,102,2017,August,35,31,2,5,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,0,Transient,225.43,0,2,Check-Out,9/7/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,34,2017,August,35,31,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,157.71,0,4,Check-Out,9/7/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,109,2017,August,35,31,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89,0,Transient,104.4,0,0,Check-Out,9/7/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
City Hotel,0,205,2017,August,35,29,2,7,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,151.2,0,2,Check-Out,9/7/2017,9-2017,246.435,1.7,0,95.1,4.4,1.75,19561.896,204.2,0.151972037,41.2,42834
